Var1 Var2 Var3 Var4 Var5 Var6 Var7 Var8
1741615466.91571 0.2822211765 -0.3488953512 0 0 0 -0.292798277 0.956174236
1741615467.01532 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615467.11634 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615467.3157 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615467.41641 0.2826316485 -0.3493522048 0 0 0 -0.292025441 0.956410551
1741615467.51626 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615467.61575 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615467.71638 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615467.81594 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615467.91709 0.2822211765 -0.3488953512 0 0 0 -0.292798277 0.956174236
1741615468.01612 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615468.11527 0.281776785 -0.3491263336 0 0 0 -0.290745074 0.956800555
1741615468.21635 0.281776785 -0.3491263336 0 0 0 -0.290745074 0.956800555
1741615468.3173 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615468.41627 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615468.51684 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615468.618 0.281776785 -0.3491263336 0 0 0 -0.290745074 0.956800555
1741615468.71654 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615468.81583 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615468.91623 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615469.01676 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615469.31697 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615469.41687 0.281776785 -0.3491263336 0 0 0 -0.290745074 0.956800555
1741615469.51602 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615469.61656 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615469.716 0.2826316485 -0.3493522048 0 0 0 -0.292025441 0.956410551
1741615469.81664 0.279257844 -0.3479962616 0 0 0 -0.290360148 0.956917439
1741615469.91599 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615470.11596 0.279257844 -0.3479962616 0 0 0 -0.290360148 0.956917439
1741615470.217 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615470.3156 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615470.41625 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615470.51647 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615470.61666 0.2822066385 -0.34912514 0 0 0 -0.289996395 0.957027738
1741615470.71645 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615470.81629 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615470.91638 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615471.01665 0.2826316485 -0.3493522048 0 0 0 -0.292025441 0.956410551
1741615471.11528 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615471.21654 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615471.3158 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615471.41944 0.2822211765 -0.3488953512 0 0 0 -0.292798277 0.956174236
1741615471.51997 0.2826316485 -0.3493522048 0 0 0 -0.292025441 0.956410551
1741615471.7193 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615471.91829 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615472.01705 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615472.11603 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615472.32422 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615472.42342 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615472.52222 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615472.62103 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615472.71999 0.2826316485 -0.3493522048 0 0 0 -0.292025441 0.956410551
1741615472.81966 0.2826316485 -0.3493522048 0 0 0 -0.292025441 0.956410551
1741615472.919 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615473.01879 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615473.11805 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615473.21659 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
